iter	Passed	Remaining
0	49	127522
1	82	105051
2	117	99768
3	154	98560
4	185	94680
5	222	94669
6	256	93575
7	294	93821
8	327	92664
9	363	92428
10	395	91538
11	430	91160
12	466	91287
13	496	90206
14	529	89629
15	562	89364
16	597	89234
17	620	87539
18	653	87303
19	685	86934
20	721	87139
21	753	86823
22	789	86944
23	825	87072
24	860	87125
25	897	87296
26	931	87207
27	980	88485
28	1011	88108
29	1044	87974
30	1076	87686
31	1119	88285
32	1152	88119
33	1184	87855
34	1225	88273
35	1257	88031
36	1290	87869
37	1323	87731
38	1359	87710
39	1390	87460
40	1422	87282
41	1454	87052
42	1484	86759
43	1519	86770
44	1549	86480
45	1584	86468
46	1621	86575
47	1667	87138
48	1700	86988
49	1732	86835
50	1767	86826
51	1798	86617
52	1831	86503
53	1864	86376
54	1896	86222
55	1931	86240
56	1963	86079
57	1994	85894
58	2028	85866
59	2061	85766
60	2095	85708
61	2124	85471
62	2158	85422
63	2192	85389
64	2224	85243
65	2254	85039
66	2286	84946
67	2325	85102
68	2357	84972
69	2388	84825
70	2421	84746
71	2461	84927
72	2493	84808
73	2525	84696
74	2557	84605
75	2587	84422
76	2622	84428
77	2659	84484
78	2689	84337
79	2724	84319
80	2760	84355
81	2789	84171
82	2825	84194
83	2855	84039
84	2888	83984
85	2921	83916
86	2956	83896
87	2986	83769
88	3020	83731
89	3054	83694
90	3088	83656
91	3120	83567
92	3151	83451
93	3184	83394
94	3217	83354
95	3249	83261
96	3282	83223
97	3319	83246
98	3352	83198
99	3400	83518
100	3444	83728
101	3478	83681
102	3509	83568
103	3541	83498
104	3573	83404
105	3607	83372
106	3640	83333
107	3672	83247
108	3705	83187
109	3742	83212
110	3774	83138
111	3806	83071
112	3844	83107
113	3889	83317
114	3920	83212
115	3951	83117
116	3982	83022
117	4018	83017
118	4052	82990
119	4086	82952
120	4120	82928
121	4155	82897
122	4185	82787
123	4217	82714
124	4252	82693
125	4281	82570
126	4310	82451
127	4340	82324
128	4378	82371
129	4410	82298
130	4444	82279
131	4472	82124
132	4499	81966
133	4526	81816
134	4553	81661
135	4581	81527
136	4608	81374
137	4639	81298
138	4677	81329
139	4709	81273
140	4740	81196
141	4776	81198
142	4809	81152
143	4838	81038
144	4872	81019
145	4901	80914
146	4934	80862
147	4967	80817
148	5000	80784
149	5028	80651
150	5062	80623
151	5099	80658
152	5132	80615
153	5167	80607
154	5200	80551
155	5232	80493
156	5266	80474
157	5298	80412
158	5331	80376
159	5364	80330
160	5406	80422
161	5440	80396
162	5471	80333
163	5502	80255
164	5540	80283
165	5572	80235
166	5603	80162
167	5637	80127
168	5670	80090
169	5703	80054
170	5736	80008
171	5771	79996
172	5806	79979
173	5838	79932
174	5873	79911
175	5904	79850
176	5940	79838
177	5965	79695
178	5989	79540
179	6016	79423
180	6052	79420
181	6092	79475
182	6128	79474
183	6163	79452
184	6193	79371
185	6225	79319
186	6260	79305
187	6291	79244
188	6325	79224
189	6359	79197
190	6389	79121
191	6424	79095
192	6455	79043
193	6489	79011
194	6520	78947
195	6545	78808
196	6575	78739
197	6605	78667
198	6639	78640
199	6674	78625
200	6709	78616
201	6744	78594
202	6775	78532
203	6812	78538
204	6869	78781
205	6902	78739
206	6936	78719
207	6971	78696
208	7004	78653
209	7039	78644
210	7073	78617
211	7120	78726
212	7155	78713
213	7186	78647
214	7220	78623
215	7255	78596
216	7289	78568
217	7325	78563
218	7354	78485
219	7389	78463
220	7423	78437
221	7456	78393
222	7488	78346
223	7521	78299
224	7550	78227
225	7577	78119
226	7604	78022
227	7630	77908
228	7656	77797
229	7680	77669
230	7707	77576
231	7733	77472
232	7762	77389
233	7795	77360
234	7827	77305
235	7856	77237
236	7885	77158
237	7914	77086
238	7942	76997
239	7969	76904
240	7996	76817
241	8025	76737
242	8053	76655
243	8080	76563
244	8107	76478
245	8135	76398
246	8165	76331
247	8196	76276
248	8223	76195
249	8253	76133
250	8283	76073
251	8311	75993
252	8344	75961
253	8377	75922
254	8413	75916
255	8447	75896
256	8479	75857
257	8510	75806
258	8541	75755
259	8575	75728
260	8607	75685
261	8636	75619
262	8674	75631
263	8716	75674
264	8749	75645
265	8782	75611
266	8812	75552
267	8845	75513
268	8880	75500
269	8913	75466
270	8950	75469
271	8984	75439
272	9016	75405
273	9051	75385
274	9084	75353
275	9116	75309
